surname,caste,source_url,gothram,region,example_full_names
ERRAPATRUNI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
ERRAPRAGADA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
GADDAMANUGU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
GADDAPALLI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
GADE,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
GADEPALLI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
GADICHARLA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
GADIDASU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
GADIRAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
GADIYARAM,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
GAJULAPALLI,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
GAMPA,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
GANAPATIRAJU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
GANDAVARAPU,Brahmin,http://manatelugu.weebly.com/telugu-brahmins-family-names.html,,Andhra Pradesh,
GANDHASIRI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
GANDIKOTA,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
GANGALAKURTHI,Brahmin,http://desiduniya.blogspot.com/2006/05/telugu-brahmin-surnames-wikipedia-free.html,,Andhra Pradesh,
